aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14816717,lsidyv3385bf32,"fletcher, john, dramatist.","fletcher, john",https://www.wikidata.org/wiki/Q312444,Q312444,valentinian: a tragedy. as 'tis alter'd by the late earl of rochester. ... together with a preface concerning the author [i.e. lord rochester] and his writings. by one of his friends [robert wolseley]. [electronic resource],valentinian: a tragedy,as 'tis alter'd by the late earl of rochester. together with a preface concerning the author [i.e. lord rochester] and his writings. by one of his friends [robert wolseley]...,,"wilmot, john, earl of rochester . -- wolseley, robert, poetical writer.","wilmot, john .  wolseley, robert",,,"london : printed for timothy goodwin, 1685.",1685,london,printed for timothy goodwin,tragedy
14816776,lsidyv2eb258bf,"glover, richard, 1712-1785.","glover, richard",https://www.wikidata.org/wiki/Q337600,Q337600,"medea. a tragedy [in five acts, and in verse]. [electronic resource]",medea. a tragedy,"[in five acts, and in verse]",,,,,,"london, 1761.",1761,london,,tragedy
14816778,lsidyv31a943a5,"goffe, thomas.","goffe, thomas",https://www.wikidata.org/wiki/Q7790095,Q7790095,the tragedy of orestes [in five acts and in verse]. [electronic resource],the tragedy of orestes,[in five acts and in verse],,,,,,"london, 1633.",1633,london,,tragedy
14816792,lsidyv32c39ff0,"gould, robert.","gould, robert",https://www.wikidata.org/wiki/Q3435259,Q3435259,"the rival sisters; or, the violence of love, a tragedy. [in verse.] [electronic resource]","the rival sisters; or, the violence of love, a tragedy",[in verse.],,,,,,"london : richard bentley, etc., 1696.",1696,london,richard bentley etc.,tragedy
14816804,lsidyv309847a3,"greatheed, bertie, 1759-1826.","greatheed, bertie",https://www.wikidata.org/wiki/Q4895631,Q4895631,"the regent: a tragedy [in five acts, prose and verse]. [electronic resource]",the regent: a tragedy,"[in five acts, prose and verse]",,,,,,"london, 1788.",1788,london,,tragedy
14816848,lsidyv31affa01,"hayns, joseph.","hayns, joseph",https://www.wikidata.org/wiki/Q3185059,Q3185059,"[a fatal mistake: or, the plot spoil'd: a tragedy, etc. [in five acts, and in verse. with portraits of the author and of i. reed, inserted]. ms. notes [by i. reed].] [electronic resource]","a fatal mistake: or, the plot spoil'd: a tragedy, etc.","[in five acts, and in verse. with portraits of the author and of i. reed, inserted]. ms. notes [by i. reed]",another edition,,,,,"london, 1696.",1696,london,,tragedy
14816852,lsidyv32d00429,"hemings, william, m.a., of christ church, oxford.","hemings, william",https://www.wikidata.org/wiki/Q73369865,Q73369865,"the fatal contract, a french tragedy [in five acts and in verse], etc. [edited by a. t. and a. p.] [electronic resource]","the fatal contract, a french tragedy","[in five acts and in verse], etc. [edited by a. t. and a. p.]",,"p., a.","p., a.",,,"london : richmond gammon, 1661.",1661,london,richmond gammon,tragedy
14816903,lsidyv33531c4c,"howard, frederick, 5th earl of carlisle.","howard, frederick",https://www.wikidata.org/wiki/Q2079507,Q2079507,"[the father's revenge, a tragedy [in five acts and in verse].] [electronic resource]","the father's revenge, a tragedy",[in five acts and in verse],another edition with other poems,,,,,"london : w. bulmer, 1800.",1800,london,w. bulmer,tragedy
14816914,lsidyv2ebbe798,"hurdis, james, 1763-1801","hurdis, james",https://www.wikidata.org/wiki/Q6136439,Q6136439,"the favourite village, with an additional poem (the relapse), now first published, and a tragedy (sir thomas more [in five acts and in verse]). [electronic resource]","the favourite village, with an additional poem (the relapse), now first published, and a tragedy (sir thomas more)",[in five acts and in verse],,,,,,"london, 1810.",1810,london,,tragedy
14816930,lsidyv32c7187c,,,,,"the indians, a tragedy [in five acts and in verse. by w. richardson.] [electronic resource]","the indians, a tragedy",[in five acts and in verse. by w. richardson.],,"richardson, william, professor of humanity in the university of glasgow.","richardson, william",,,"london, 1790.",1790,london,,tragedy
14816932,lsidyv31af01a4,,,,,"the banished duke: or, the tragedy of infortunatus [i.e. james, duke of monmouth. in five acts, and in verse]. [electronic resource]","the banished duke: or, the tragedy of infortunatus","[i.e. james, duke of monmouth. in five acts, and in verse]",,"fitzroy, afterwards scott, james, duke of monmouth and of buccleuch.","fitzroy, afterwards scott, james",,,"london, 1690.",1690,london,,tragedy
14816943,lsidyv319d5296,,,,,the italian wife: a tragedy [in five acts and in verse: by t. doubleday]. [electronic resource],the italian wife: a tragedy,[in five acts and in verse: by t. doubleday],,,,,,"edinburgh and london, 1823.",1823,edinburgh & london,and,tragedy
14816950,lsidyv32cf22a5,,,,,the fatal jealousie. a tragedy [in five acts and in verse. by n. payne]. [electronic resource],the fatal jealousie. a tragedy,[in five acts and in verse. by n. payne],,"payne, henry neville.","payne, henry neville",,,"london, 1673.",1673,london,,tragedy
14816951,lsidyv3352f961 -- lsidyv36799680,"jephson, robert.","jephson, robert",https://www.wikidata.org/wiki/Q3435536,Q3435536,"braganza; a tragedy [in five acts and in verse], etc. [electronic resource]","braganza; a tragedy, etc.",[in five acts and in verse],,,,,,"london, 1775.",1775,london,,tragedy
14816952,lsidyv3352fd87,"jephson, robert.","jephson, robert",https://www.wikidata.org/wiki/Q3435536,Q3435536,"the count of narbonne; a tragedy [in five acts and in verse], etc. [electronic resource]","the count of narbonne; a tragedy, etc.",[in five acts and in verse],,,,,,"london, 1781.",1781,london,,tragedy
14816953,lsidyv3352fb92,"jephson, robert.","jephson, robert",https://www.wikidata.org/wiki/Q3435536,Q3435536,"the law of lombardy: a tragedy [in five acts and in verse], etc. [electronic resource]","the law of lombardy: a tragedy, etc.",[in five acts and in verse],,,,,,"london, 1779.",1779,london,,tragedy
14817004,lsidyv2eb414ee,"knowles, james sheridan.","knowles, james sheridan",https://www.wikidata.org/wiki/Q353538,Q353538,"virginius: a tragedy, in five acts [in verse], etc. [electronic resource]","virginius: a tragedy, in five acts, etc.",[in verse],,,,,,"london, 1820.",1820,london,,tragedy
14817079,lsidyv3163c1d6,"lewis, m. g. (matthew gregory), 1775-1818.","lewis,  matthew gregory",https://www.wikidata.org/wiki/Q121060,Q121060,"adelgitha; or, the fruits of a single error. a tragedy, etc. [electronic resource]","adelgitha; or, the fruits of a single error. a tragedy, etc.",,,,,,,"london : j. f. hughes, 1806.",1806,london,j. f. hughes,tragedy
14817177,lsidyv349bab4d,"lindsay, coutts, sir, bart.","lindsay, coutts",https://www.wikidata.org/wiki/Q5178863,Q5178863,boadicea: a tragedy [in five acts and verse]. [electronic resource],boadicea: a tragedy,[in five acts and verse],,,,,,"london, 1857.",1857,london,,tragedy
14817269,lsidyv338f8518,,,,,"the cambrian hero, or llewelyn the great: an historical tragedy [in five acts and in verse, by w. sotheby?]. [electronic resource]","the cambrian hero, or llewelyn the great: an historical tragedy","[in five acts and in verse, by w. sotheby?]",,"sotheby, william, 1757-1833.","sotheby, william",,,"egham : privately printed, [1800?].",1800,egham,privately printed,tragedy
14817471,lsidyv3499cbfc,,,,,"the banished lord: a tragedy, in five acts [and in verse]. [electronic resource]","the banished lord: a tragedy, in five acts",[and in verse],,,,,,"london, 1842.",1842,london,,tragedy
14817542,lsidyv345d6b8c,"lower, william, sir.","lower, william",https://www.wikidata.org/wiki/Q18577211,Q18577211,"polyeuctes, or the martyr. a tragedy [in five acts and in verse, translated from corneille]. [electronic resource]","polyeuctes, or the martyr. a tragedy","[in five acts and in verse, translated from corneille]",,"corneille, pierre, 1606-1684.","corneille, pierre",,,"london, 1655.",1655,london,,tragedy
14817740,lsidyv33530c66,"m., p., and f. (n.)","massinger, philip. field, nathaniel.",https://www.wikidata.org/wiki/Q380291,Q380291,the fatall dowry: a tragedy [in five acts and in verse]. written by p[hilip] m[assinger] and n[athaniel] f[ield]. [electronic resource],the fatall dowry: a tragedy,[in five acts and in verse]. written by p[hilip] m[assinger] and n[athaniel] f[ield],,"f., n. -- field, nathaniel, dramatist. -- massinger, philip, 1583-1640.","f., n.  field, nathaniel.  massinger, philip",,,"london, 1632.",1632,london,,tragedy
14817850,lsidyv30989bc5,"macdonald, andrew, author of vimonda.","macdonald, andrew",,,vimonda: a tragedy [in five acts and in verse]. [electronic resource],vimonda: a tragedy,[in five acts and in verse],,,,,,"london, 1788.",1788,london,,tragedy
14817981,lsidyv34ed2b94,"mackay, george eric.","mackay, george eric",https://www.wikidata.org/wiki/Q5387019,Q5387019,nero and actéa: a tragedy. [electronic resource],nero and actéa: a tragedy,,,,,,,"london : w. heinemann, 1891.",1891,london,w. heinemann,tragedy
14818266,lsidyv3a582335,"mallet, david.","mallet, david",https://www.wikidata.org/wiki/Q137534,Q137534,elvira: a tragedy [in five acts and in verse]. [electronic resource],elvira: a tragedy,[in five acts and in verse],,,,,,"london, 1763.",1763,london,,tragedy
14818329,lsidyv349d1cbd,"manners, george.","manners, george",,,"edgar; or, caledonian feuds. a tragedy [in five acts and in verse]. [electronic resource]","edgar; or, caledonian feuds. a tragedy",[in five acts and in verse],,,,,,"london, 1806.",1806,london,,tragedy
14818364,lsidyv349d1f7e,,,,,"the duke of mantua, a tragedy [in five acts, in prose and verse]. by - [j. roby]. [electronic resource]","the duke of mantua, a tragedy","[in five acts, in prose and verse]. by - [j. roby]",,"roby, john.","roby, john",,,"london, 1823.",1823,london,,tragedy
14818367,lsidyv349d2728,,,,,"manuel: a tragedy, in five acts [and in verse]. by the author of bertram [c. r. maturin]. [electronic resource]","manuel: a tragedy, in five acts",[and in verse]. by the author of bertram [c. r. maturin],,"maturin, charles robert.","maturin, charles robert",,,"london, 1817.",1817,london,,tragedy
14818427,lsidyv345cd6e0,"marlowe, christopher, 1564-1593","marlowe, christopher",https://www.wikidata.org/wiki/Q28975,Q28975,"[the troublesome raigne and lamentable death of edward the second, king of england: with the tragicall fall of proud mortimer: and also the life and death of peirs gaveston, the great earle of cornewall, and mighty favorite of king edward the second, etc. [a tragedy, in five acts and in verse.]] [electronic resource]","the troublesome raigne and lamentable death of edward the second, king of england: with the tragicall fall of proud mortimer: and also the life and death of peirs gaveston, the great earle of cornewall, and mighty favorite of king edward the second, etc.","[a tragedy, in five acts and in verse.]",another edition,,,,,"london : printed for h. bell, 1622.",1622,london,printed for h. bell,tragedy
14818428,lsidyv34240dcd,"marlowe, christopher, 1564-1593","marlowe, christopher",https://www.wikidata.org/wiki/Q28975,Q28975,"the famous tragedy of the rich jew of malta. as it was playd before the king and queene, in his majesties theatre at white-hall, etc. [electronic resource]",the famous tragedy of the rich jew of malta,"as it was playd before the king and queene, in his majesties theatre at white-hall, etc",,"heywood, thomas, approximately 1574-1641.","heywood, thomas",,,"london : printed by i. b. for nicholas vavasour, 1633.",1633,london,printed by i. b. for nicholas vavasour,tragedy
14818430,lsidyv34240a0b,"marlowe, christopher, 1564-1593","marlowe, christopher",https://www.wikidata.org/wiki/Q28975,Q28975,"[tamburlaine the great, etc. [a tragedy, in five acts and in verse, by marlow.]] [electronic resource]","tamburlaine the great, etc.","[a tragedy, in five acts and in verse, by marlow.]",another edition,,,,,1605,1605,,,tragedy
14818620,lsidyv3499cf05,"marston, john westland.","marston, john westland",https://www.wikidata.org/wiki/Q711012,Q711012,the patrician's daughter. a tragedy in five acts [and in verse]. [electronic resource],the patrician's daughter. a tragedy in five acts,[and in verse],,,,,,"london, 1841.",1841,london,,tragedy
14818703,lsidyv2eb0fcf5,"mason, william, poet.","mason, william",https://www.wikidata.org/wiki/Q3098261,Q3098261,"caractacus. a dramatic poem: written on the model of the ancient greek tragedy, etc. by the author of elfrida (w. mason). [electronic resource]","caractacus. a dramatic poem: written on the model of the ancient greek tragedy, etc.",by the author of elfrida (w. mason),,,,,,"london : j. knapton, 1759.",1759,london,j. knapton,tragedy
