aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14804814,lsidyv352c4ce4,"aubigny, m. d'","aubigny, m. d'",https://www.wikidata.org/wiki/Q230670,Q230670,"the green man: a comedy, in three acts ... from the french of m.m. d'aubigny et poujol, by richard jones. [electronic resource]","the green man: a comedy, in three acts","from the french of m.m. d'aubigny et poujol, by richard jones....",,"jones, richard, dramatic writer. -- poujol, adolphe, 1811-1898.","jones, richard. poujol, adolphe",,,"london : william fearman, 1818.",1818,london,william fearman,comedy
14804889,lsidyv338f0b90,"beaumont, francis, 1584-1616.","beaumont, francis",https://www.wikidata.org/wiki/Q313932,Q313932,"the elder brother: a comedie ... written by f. beaumont and j. fletcher [or more probably written by fletcher, and revised by massinger] ... the second edition, corrected and amended. [electronic resource]",the elder brother: a comedie,"written by f. beaumont and j. fletcher [or more probably written by fletcher, and revised by massinger]...the second edition, corrected and amended.",,,,,,"london : for humphrey moseley, 1651.",1651,london,for humphrey moseley,comedy
14804905,lsidyv345c70cd -- lsidyv3353a0dd,"beaumont, francis, 1584-1616.","beaumont, francis",https://www.wikidata.org/wiki/Q313932,Q313932,"wit without money. a comedie ... written by f. beamount [sic], and j. flecher, gent. [or rather, by fletcher alone]. [electronic resource]",wit without money. a comedie,"written by f. beamount [sic], and j. flecher, gent. [or rather, by fletcher alone]....",,,,,,"london : thomas cotes, for andrew crooke & william cooke, 1639.",1639,london,thomas cotes for andrew crooke & william cooke,comedy
14804906,lsidyv338f0d55,"beaumont, francis, 1584-1616.","beaumont, francis",https://www.wikidata.org/wiki/Q313932,Q313932,"[the woman hater [a comedy, in five acts, in prose and verse; by j. fletcher and f. beaumont?].] [electronic resource]",the woman hater,"[a comedy, in five acts, in prose and verse; by j. fletcher and f. beaumont?].",another edition the woman hater a comedy in five acts and in verse and prose  written by john fletcher gent or rather by beaumont and fletcher,,,,,"london : for h. moseley, 1648.",1648,london,for h. moseley,comedy
14804914,lsidyv338ee0c0,,,,,"the mistaken beauty, or, the lyar. a comedy. [a translation of p. corneille's “le menteur.”] [electronic resource]","the mistaken beauty, or, the lyar. a comedy",[a translation of p. corneille's “le menteur.”],,"corneille, pierre, 1606-1684.","corneille, pierre",,,"london : for simon neale, 1685.",1685,london,for simon neale,comedy
14804962,lsidyv338f39d3,"behn, aphra, 1640-1689","behn, aphra",https://www.wikidata.org/wiki/Q231886,Q231886,"the city-heiress: or, sir timothy treat-all. a comedy. [electronic resource]","the city-heiress: or, sir timothy treat-all. a comedy",,,,,,,"london : d. brown, etc., 1682.",1682,london,d. brown etc.,comedy
14804963,lsidyv338f3bd4,"behn, aphra, 1640-1689","behn, aphra",https://www.wikidata.org/wiki/Q231886,Q231886,"[the city-heiress: or, sir timothy treat-all. a comedy.] [electronic resource]","the city-heiress: or, sir timothy treat-all. a comedy",,another edition,,,,,"london : richard wellington, 1698.",1698,london,richard wellington,comedy
14804965,lsidyv342725b9,"behn, aphra, 1640-1689","behn, aphra",https://www.wikidata.org/wiki/Q231886,Q231886,"the forc'd marriage; or, the jealous bridegroom; a tragi-comedy. [in verse.] [electronic resource]","the forc'd marriage; or, the jealous bridegroom; a tragi-comedy",[in verse.],,,,,,"london : h. l. & r. b. for james magnus, 1671.",1671,london,h. l. & r. b. for james magnus,comedy
14804966,lsidyv3426f496,"behn, aphra, 1640-1689","behn, aphra",https://www.wikidata.org/wiki/Q231886,Q231886,"the lucky chance, or an alderman's bargain. a comedy. [electronic resource]","the lucky chance, or an alderman's bargain. a comedy",,,,,,,"london : r. h. for w. canning, 1687.",1687,london,r. h. for w. canning,comedy
14804967,lsidyv3422035e,"behn, aphra, 1640-1689","behn, aphra",https://www.wikidata.org/wiki/Q231886,Q231886,"the widdow ranter, or, the history of bacon in virginia. a tragi-comedy. [the editor's preface signed: g. j.] [electronic resource]","the widdow ranter, or, the history of bacon in virginia. a tragi-comedy",[the editor's preface signed: g. j.],,"dryden, john, 1631-1700. -- j., g.","dryden, john j., g.",,,"london : james knapton, 1690.",1690,london,james knapton,comedy
