aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14809177,lsidyv34ebf616,"dimond, william.",William Dimond,https://www.wikidata.org/wiki/Q18546954,Q18546954,"[the hero of the north, an historical play, etc.] [electronic resource]","the hero of the north, an historical play, etc.",,"another edition.gustavus vasa, the hero of the north,  a new edition",,,,,"london : j. barker, 1811.",1811,london,j. barker,play
14809181,lsidyv3493aa37,"dimond, william.",William Dimond,https://www.wikidata.org/wiki/Q18546954,Q18546954,"the royal oak, an historical play, etc. [electronic resource]","the royal oak, an historical play, etc.",,,,,,,"london : j. barker, 1811.",1811,london,j. barker,play
14809217,lsidyv3990a319,"dixon, thomas, of newcastle-upon-tyne?.","dixon, thomas",,,"the portrait of religion in newcastle: being a clerical, satirical and allegorical drama. second edition. [electronic resource]","the portrait of religion in newcastle: being a clerical, satirical and allegorical drama.",second edition,,,,,,"newcastle-upon-tyne, 1836.",1836,newcastle-upon-tyne,,play
14809250,lsidyv3a9865b3,"dobson, henry austin.",Austin Dobson,https://www.wikidata.org/wiki/Q3595615,Q3595615,"proverbs in porcelain: to which is added, “au revoir,” a dramatic vignette. (illustrated by bernard partridge.) l.p. [electronic resource]",proverbs in porcelain,"to which is added, “au revoir,” a dramatic vignette. (illustrated by bernard partridge.) l.p",,"partridge, j. bernard, sir.","partridge, j. bernard",,,"london : kegan paul & co., 1893.",1893,london,kegan paul & co.,play
14809267,lsidyv345a4b5f -- lsidyv345ab2de -- lsidyv345a572e -- lsidyv338e9f66 -- lsidyv345a4115 -- lsidyv345a8f48 -- lsidyv345a8363 -- lsidyv345a619e -- lsidyv345a7809 -- lsidyv345a9a61 -- lsidyv345a6c03 -- lsidyv345aa8cd,"dodsley, robert, 1703-1764.",Robert Dodsley,https://www.wikidata.org/wiki/Q3434980,Q3434980,[a select collection of old plays. [edited by r. d.]] [electronic resource],a select collection of old plays,[edited by r. d.],"new edition, with additional notes and corrections, by i. reed, o. gilchrist, and the editor j. p. collier","collier, john payne, 1789-1883 -- gilchrist, octavius graham. -- reed, isaac, of staple inn.","collier, john payne |gilchrist, octavius graham |reed, isaac",,,"london, 1825-27.",1825,london,,play
14809268,lsidyv315e0283,"dodsley, robert, 1703-1764.",Robert Dodsley,https://www.wikidata.org/wiki/Q3434980,Q3434980,sir john cockle at court. being the sequel of the king and the miller of mansfield. a dramatick tale. [electronic resource],sir john cockle at court. being the sequel of the king and the miller of mansfield. a dramatick tale,,,,,,,"london, 1738.",1738,london,,play
14809290,lsidyv3a441724,"donnelly, h. grattan.",Henry Grattan Donnelly,https://www.wikidata.org/wiki/Q5722153,Q5722153,"darkest russia. a novel ... from the ... play of that name written by mr. donnelly, etc. [electronic resource]",darkest russia. a novel,"from the...play of that name written by mr. donnelly, etc.",,,,,,"london, [printed in america : aldine publishing co., 1896.].",1896,london,printed in america  aldine publishing co. .,play
14809363,lsidyv345cdc77,"dover, john.","dover, john",,,"the roman generalls; or, the distressed ladies. [a drama, in five acts and in verse.] [electronic resource]","the roman generalls; or, the distressed ladies","[a drama, in five acts and in verse.]",,,,,,"london, 1667.",1667,london,,play
14809445,lsidyv3030ae19,"drinkwater, albert e.","drinkwater, albert e",,,plays and poems. [electronic resource],plays and poems,,,,,,,"london; edinburgh [printed : griffith & co., 1885].",1885,london,edinburgh printed  griffith & co.,play
14809448,lsidyv3c0f3758,"druery, john henry.","druery, john henry",,,"[twenty-four views displaying the beauties of yarmouth and its environs, extending from caister castle to lowestoft light-house ... by j. lambert ... with a concise description ... and an historical notice of yarmouth by j. h. d.] [electronic resource]","twenty-four views displaying the beauties of yarmouth and its environs, extending from caister castle to lowestoft light-house",by j. lambert...with a concise description ... and an historical notice of yarmouth by j. h. d,"another edition. graphic illustrations of great yarmouth and its environs, 24 plates engraved, by j. lambert  with a descriptive index by j. h. d.","lambert, joseph, artist.","lambert, joseph",,,"yarmouth, 1822.",1822,yarmouth,,play
